arch,task,model,metric,sampleseed,mean,std,n,t_statistic,p_value,significant,ablation
protxlstm,proeng_aav_one_vs_many_mean,protxlstm_102M_60B,test_performance_1,sampling_seed-12345,0.9667753621234013,0.0016331587615273078,5,-17.579154331093697,3.074807120594852e-05,True,rand
protxlstm,proeng_aav_one_vs_many_mean,protxlstm_102M_60B,test_performance_1,sampling_seed-42,0.9667753621234013,0.0016331587615273078,5,-17.57099052759639,3.080464540210356e-05,True,rand
protxlstm,proeng_aav_two_vs_many_mean,protxlstm_102M_60B,test_performance_1,sampling_seed-0,0.9801847189438334,0.000717993837753414,5,-8.971097899961745,0.0004271630454065354,True,rand
protxlstm,proeng_aav_two_vs_many_mean,protxlstm_102M_60B,test_performance_1,sampling_seed-12345,0.9801847189438334,0.000717993837753414,5,-11.290343099075894,0.00017535337846274058,True,rand
protxlstm,proeng_aav_two_vs_many_mean,protxlstm_102M_60B,test_performance_1,sampling_seed-42,0.9801847189438334,0.000717993837753414,5,-8.971097899961745,0.0004271630454065354,True,rand
protxlstm,proeng_gb1_low_vs_high_mean,protxlstm_102M_60B,test_performance_1,sampling_seed-0,0.9228624323026342,0.0008779689109551466,5,-58.2221119283284,2.6056483323388073e-07,True,rand
protxlstm,proeng_gb1_low_vs_high_mean,protxlstm_102M_60B,test_performance_1,sampling_seed-12345,0.9228624323026342,0.0008779689109551466,5,-58.2221119283284,2.6056483323388073e-07,True,rand
protxlstm,proeng_gb1_low_vs_high_mean,protxlstm_102M_60B,test_performance_1,sampling_seed-42,0.9228624323026342,0.0008779689109551466,5,-58.2221119283284,2.6056483323388073e-07,True,rand
protxlstm,proeng_gb1_low_vs_high_mean,protxlstm_26M_30B,test_performance_1,sampling_seed-0,0.9192314664454644,0.0009360255983609171,5,-38.77566568199839,1.3211770422948584e-06,True,rand
protxlstm,proeng_gb1_low_vs_high_mean,protxlstm_26M_30B,test_performance_1,sampling_seed-12345,0.9192314664454644,0.0009360255983609171,5,-38.77566568199839,1.3211770422948584e-06,True,rand
protxlstm,proeng_gb1_low_vs_high_mean,protxlstm_26M_30B,test_performance_1,sampling_seed-42,0.9192314664454644,0.0009360255983609171,5,-38.77566568199839,1.3211770422948584e-06,True,rand
protxlstm,proeng_gb1_one_vs_rest_mean,protxlstm_102M_60B,test_performance_1,sampling_seed-0,0.8700016371591609,0.004424255343540623,5,-2.390360637290989,0.03756916801162947,True,rand
protxlstm,proeng_gb1_one_vs_rest_mean,protxlstm_102M_60B,test_performance_1,sampling_seed-12345,0.8700016371591609,0.004424255343540623,5,-2.390360637290989,0.03756916801162947,True,rand
protxlstm,proeng_gb1_one_vs_rest_mean,protxlstm_102M_60B,test_performance_1,sampling_seed-42,0.8700016371591609,0.004424255343540623,5,-2.390360637290989,0.03756916801162947,True,rand
protxlstm,proeng_gb1_one_vs_rest_mean,protxlstm_26M_30B,test_performance_1,sampling_seed-0,0.8658869976149794,0.004851613797908283,5,-0.08247721805409851,0.4691147971792844,False,rand
protxlstm,proeng_gb1_one_vs_rest_mean,protxlstm_26M_30B,test_performance_1,sampling_seed-12345,0.8658869976149794,0.004851613797908283,5,-0.08247721805409851,0.4691147971792844,False,rand
protxlstm,proeng_gb1_one_vs_rest_mean,protxlstm_26M_30B,test_performance_1,sampling_seed-42,0.8658869976149794,0.004851613797908283,5,-0.08247721805409851,0.4691147971792844,False,rand
protxlstm,proeng_gb1_two_vs_rest_mean,protxlstm_102M_60B,test_performance_1,sampling_seed-0,0.828563909261143,0.012605874143887794,5,-5.583105312929203,0.0025235227870509325,True,rand
protxlstm,proeng_gb1_two_vs_rest_mean,protxlstm_102M_60B,test_performance_1,sampling_seed-12345,0.828563909261143,0.012605874143887794,5,-5.583105312929203,0.0025235227870509325,True,rand
protxlstm,proeng_gb1_two_vs_rest_mean,protxlstm_102M_60B,test_performance_1,sampling_seed-42,0.828563909261143,0.012605874143887794,5,-5.583105312929203,0.0025235227870509325,True,rand
protxlstm,proeng_gb1_two_vs_rest_mean,protxlstm_26M_30B,test_performance_1,sampling_seed-0,0.8280536068977215,0.009651237308724716,5,-4.303199048517005,0.006306829914656598,True,rand
protxlstm,proeng_gb1_two_vs_rest_mean,protxlstm_26M_30B,test_performance_1,sampling_seed-12345,0.8280536068977215,0.009651237308724716,5,-4.303199048517005,0.006306829914656598,True,rand
protxlstm,proeng_gb1_two_vs_rest_mean,protxlstm_26M_30B,test_performance_1,sampling_seed-42,0.8280536068977215,0.009651237308724716,5,-4.303199048517005,0.006306829914656598,True,rand
protxlstm,proeng_thermo_mixed_split_mean,protxlstm_102M_60B,test_performance_1,sampling_seed-0,0.984942861192098,0.00027074957816705403,5,-52.13268916555843,4.051503254483325e-07,True,rand
