arch,task,model,ablation,ptp,max_seq_num,embseed,sampleseed,metric,value
protxlstm,evolution_remote_homology_tape_rh_processed_test-fold-holdout_mean,protxlstm_26M_30B,emb,1.0,200,seed-42,sampling_seed-12345,test_performance_1,"[0.0, 0.0, 0.0, 0.001392757660167131, 0.0, 0.002785515320334262, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
protxlstm,annotation_scl_balanced_mean,protxlstm_26M_30B,emb,1.0,200,seed-42,sampling_seed-42,train_loss,"[1.4993418768832558, 1.1270730024889897, 1.0990710195742155, 1.077412481370725, 1.0798346180664866, 1.0945464780456142, 1.0878306846869619, 1.0774750960500616, 1.0994955662049746, 1.0989126217992682, 1.1289119438121193, 1.1270162086737783, 1.1363931988414966, 1.0515755493389933, 1.0749035258042186, 1.0383061719568152, 1.14512804934853]"
protxlstm,annotation_scl_balanced_mean,protxlstm_26M_30B,emb,1.0,200,seed-42,sampling_seed-42,val_loss,"[1.5372841017586845, 1.140928430216653, 1.104945378644126, 1.095109420163291, 1.111400842666626, 1.1302069340433394, 1.1201193247522627, 1.1046870180538721, 1.11356121301651, 1.121606000832149, 1.149534353188106, 1.1488131625311715, 1.166479502405439, 1.0858586600848608, 1.1023003799574715, 1.067604388509478, 1.1422547357422965]"
protxlstm,annotation_scl_balanced_mean,protxlstm_26M_30B,emb,1.0,200,seed-42,sampling_seed-42,test_loss,"[2.0629849433898926, 1.7629799246788025, 1.7164886593818665, 1.6798785328865051, 1.7051101326942444, 1.7189540266990662, 1.7516277432441711, 1.8159644603729248, 1.8130249381065369, 1.7946056723594666, 1.7953750491142273, 1.7864331603050232, 1.7857348918914795, 1.7564411759376526, 1.760274052619934, 1.7275320291519165, 1.7621247172355652]"
protxlstm,annotation_scl_balanced_mean,protxlstm_26M_30B,emb,1.0,200,seed-42,sampling_seed-42,test_performance_2,"[0.35584415584415585, 0.44155844155844154, 0.44935064935064933, 0.4649350649350649, 0.45714285714285713, 0.43896103896103894, 0.45194805194805193, 0.42337662337662335, 0.43636363636363634, 0.43636363636363634, 0.42337662337662335, 0.43116883116883115, 0.41818181818181815, 0.44675324675324674, 0.43636363636363634, 0.44935064935064933, 0.44415584415584414]"
protxlstm,annotation_scl_balanced_mean,protxlstm_26M_30B,emb,1.0,200,seed-42,sampling_seed-42,test_performance_1,"[0.6973923671839651, 0.7762849545633832, 0.7793468039520023, 0.7897899775537809, 0.7892182237742856, 0.7816780449211594, 0.7734964770081466, 0.7727113267180112, 0.773034453463732, 0.7749984233721687, 0.7642919920612805, 0.7663934221296875, 0.7618692128689751, 0.7786373579824172, 0.7716562417366383, 0.7834852452313459, 0.7761976345961854]"
protxlstm,annotation_scl_balanced_mean,protxlstm_26M_30B,emb,1.0,200,seed-42,sampling_seed-0,train_loss,"[1.4993418768832558, 1.1264963165709847, 1.0986889710551815, 1.076745397166202, 1.0800249074634753, 1.094042663511477, 1.0878152564952248, 1.0770073752654226, 1.098458861049853, 1.0985128158017208, 1.1292217075824738, 1.126488302883349, 1.1360495843385394, 1.071983183685102, 1.0705747855337042, 1.0390868281063281, 1.1448413572813336]"
protxlstm,annotation_scl_balanced_mean,protxlstm_26M_30B,emb,1.0,200,seed-42,sampling_seed-0,val_loss,"[1.5372841017586845, 1.138704742704119, 1.1033628327505929, 1.0950137972831726, 1.1106882095336914, 1.1292220439229692, 1.1209163750920976, 1.1058028084891183, 1.1136625749724252, 1.1206722089222498, 1.1483899354934692, 1.1464458107948303, 1.1643123541559492, 1.1007670164108276, 1.099492541381291, 1.0720472250665938, 1.1394787515912737]"
protxlstm,annotation_scl_balanced_mean,protxlstm_26M_30B,emb,1.0,200,seed-42,sampling_seed-0,test_loss,"[2.0629849433898926, 1.7642620205879211, 1.716929852962494, 1.684153974056244, 1.704370379447937, 1.7197184562683105, 1.7534953951835632, 1.8210670948028564, 1.8190670609474182, 1.8010596632957458, 1.8007415533065796, 1.7973971366882324, 1.8016517758369446, 1.7664172649383545, 1.770512878894806, 1.7301527857780457, 1.7610016465187073]"
protxlstm,annotation_scl_balanced_mean,protxlstm_26M_30B,emb,1.0,200,seed-42,sampling_seed-0,test_performance_2,"[0.35584415584415585, 0.44415584415584414, 0.45194805194805193, 0.4623376623376623, 0.45454545454545453, 0.43896103896103894, 0.4623376623376623, 0.42597402597402595, 0.43376623376623374, 0.43376623376623374, 0.42077922077922075, 0.42597402597402595, 0.41818181818181815, 0.44675324675324674, 0.43376623376623374, 0.45714285714285713, 0.44415584415584414]"
